BoM Name,Level,Product Reference,Product Name,Quantity,Unit of Measure,BoM Reference
,> > > > > > > > ,RM-AB0104,"[RM-AB0104] Chroma Strand ABS Filament, Lulzbot Green 2.85mm, 5 lb reel",0.0001,"Reel, 5lb",
,> > > > > > > ,RM-AB0105,"[RM-AB0105] Chroma Strand ABS Filament, Black 2.85mm, 5 lb reel ",0.0344,"Reel, 5lb",
,> > > > > > ,EL-SW0022,[EL-SW0022] SWITCH BASIC SPDT 3A .110QC 125V,1,PCE,
,> > > > > > ,HD-BT0012,[HD-BT0012] M3 Set Screw (Grub Screw),2,PCE,
,> > > > > > ,HD-BT0107,"[HD-BT0107] Metric Class 12.9 Socket Head Cap Screw Alloy Steel, Black, M2 Thread, 10mm Length, 0.4mm Pitch",2,PCE,
,> > > > > > ,HD-BT0185,"[HD-BT0185] Black-Oxide Alloy Steel Socket Head Screw M3 x 0.5 mm Thread, 16 mm Long",2,PCE,
,> > > > > > ,HD-MS0030,"[HD-MS0030] Metric Brass Heat-Set Tapered Insert, M3-.5 Internal Thread, 3.8mm Length",6,PCE,
,> > > > > > ,HD-NT0001,"[HD-NT0001] Metric Zinc-Plated Steel Nylon-Insert Locknut, Class 8, M3 Screw sz, .5MM pitch, 5.5MM W, 4MM H",2,PCE,
,> > > > > > ,HD-WA0012,"[HD-WA0012] Steel Flat Washer, DIN 125 zinc-plated class 4,M2 screw sz, 5mm OD, .25mm-.35mm thick",2,PCE,
,> > > > > > ,HD-WA0038,"[HD-WA0038] Black-Oxide 18-8 Steel Flat Washer, M3 Screw Size, 3.2mm ID, 7.0mm OD",2,PCE,
,> > > > > > ,PP-MP0066,"[PP-MP0066] Metric Brass Heat-Set Tapered Insert, M2-.4 Internal Thread, 2.9MM Length",2,PCE,
,> > > > > ,AS-PR0135,[AS-PR0135] Z-Upper Left Assembly,1,PCE,
,> > > > > > ,PP-IS0094,[PP-IS0094] Z-Upper Left with Inserts,1,PCE,
,> > > > > > > ,HD-MS0030,"[HD-MS0030] Metric Brass Heat-Set Tapered Insert, M3-.5 Internal Thread, 3.8mm Length",4,PCE,
,> > > > > > > ,PP-MP0066,"[PP-MP0066] Metric Brass Heat-Set Tapered Insert, M2-.4 Internal Thread, 2.9MM Length",2,PCE,
,> > > > > > > ,PP-GP0358,[PP-GP0358] Z Upper Left,1,PCE,
,> > > > > > > > ,RM-AB0105,"[RM-AB0105] Chroma Strand ABS Filament, Black 2.85mm, 5 lb reel ",0.0119,"Reel, 5lb",
,> > > > > > ,EL-SW0022,[EL-SW0022] SWITCH BASIC SPDT 3A .110QC 125V,1,PCE,
,> > > > > > ,HD-BT0012,[HD-BT0012] M3 Set Screw (Grub Screw),2,PCE,
,> > > > > > ,HD-BT0107,"[HD-BT0107] Metric Class 12.9 Socket Head Cap Screw Alloy Steel, Black, M2 Thread, 10mm Length, 0.4mm Pitch",2,PCE,
,> > > > > > ,HD-BT0116,"[HD-BT0116] Black Alloy Steel Flat-Head Socket Cap Screw, Class 10.9, M3 Size, 10mm Length, .50mm Pitch",4,PCE,
,> > > > > > ,HD-WA0012,"[HD-WA0012] Steel Flat Washer, DIN 125 zinc-plated class 4,M2 screw sz, 5mm OD, .25mm-.35mm thick",2,PCE,
,> > > > > > ,PP-FP0156,[PP-FP0156] Z Upper Top Plate,1,PCE,
,> > > > ,EL-HR0142,"[EL-HR0142] Z Endstop Harness, Assembled",1,PCE,T8299 6/28/2019
,> > > > > ,EL-MS0205,[EL-MS0205] Molex-CONN TERM MALE 22-24AWG TIN - Reels of 20K,2,PCE,
,> > > > > ,EL-WR0105,[EL-WR0105] 24AWG Stranded – Black,237,cm,
,> > > > > ,EL-MS0142,[EL-MS0142] Conn Recept Faston 22-26AWG .110 - Reel of 3K,4,PCE,
,> > > > > ,EL-MS0247,"[EL-MS0247] Heat Shrink Tubing – 0.19-0.09 – Black, 100'",120,mm,
,> > > > > ,EL-MS0416,"[EL-MS0416] Solder Sleeve B155-9002, Clear 0.105"" one step",2,PCE,
,> > > > > ,PP-MP0059,[PP-MP0059] CONN HOUSING MALE 2POS .100,1,PCE,
,> > > > ,HD-BT0049,"[HD-BT0049] Metric Class 12.9 Socket Head Cap Screw, Alloy Steel, M5 thread, 14MM length, 0.80MM pitch",2,PCE,T8299 6/28/2019
,> > > > ,HD-BT0073,"[HD-BT0073] Class 10.9 Stl Button Head Socket Cap Screw M5 Size, 10 Mm Length, .8 Mm Pitch ",63,PCE,T8299 6/28/2019
,> > > > ,HD-BT0158,"[HD-BT0158] Class 10.9 Steel Button-Head Socket Cap Screw, M5 Size, 12 mm Length, .8 mm Pitch",4,PCE,T8299 6/28/2019
,> > > > ,HD-BT0225,"[HD-BT0225] 316 Stainless Steel Button Head Hex Drive Screws, M5 x 0.8mm Thread, 10mm Long",1,PCE,T8299 6/28/2019
,> > > > ,HD-BT0250,"[HD-BT0250] M5 x 0.8mm Thread, 10mm Long, Flanged Hex Head Screw",8,PCE,T8299 6/28/2019
,> > > > ,HD-EX0062,"[HD-EX0062] T-Slot Aluminum Frame TPW, Extrusion 20mm x 20mm x 500mm,Tapped M5x0.8 on Both Ends, Black (Ends free of anodize) ",4,PCE,T8299 6/28/2019
,> > > > ,HD-EX0086,"[HD-EX0086] T-Slot Extrusion, Aluminum, 20mm x 20mm, 20.866"" 530mm",4,PCE,T8299 6/28/2019
,> > > > ,HD-EX0090,[HD-EX0090] 90 degree Corner Bracket 2 Hole 20mm Slotted Inside Corner Bracket with Dual Support for 20 Series,8,PCE,T8299 6/28/2019
,> > > > ,HD-EX0092,[HD-EX0092] 2 Hole Inside Corner Bracket For 20 Series,1,PCE,T8299 6/28/2019
,> > > > ,HD-MS0554,"[HD-MS0554] Workhorse, M5 x 0.8 Knob Thumb Screw Drive, Stainless Steel ",4,PCE,T8299 6/28/2019
,> > > > ,HD-NT0044,[HD-NT0044] Post assembly M5 T-nut,5,PCE,T8299 6/28/2019
,> > > > ,HD-NT0053,"[HD-NT0053] T-Slot Slide in T-nuts for Aluminum Frame, M5 ",68,PCE,T8299 6/28/2019
,> > > > ,HD-WA0007,"[HD-WA0007] M5 Washer, Steel, Zinc Plated",1,PCE,T8299 6/28/2019
,> > > > ,HD-WA0040,"[HD-WA0040] Black-Oxide 18-8 Stainless Steel Washer, M5 Size, 5.3mm ID, 10.0mm OD",69,PCE,T8299 6/28/2019
,> > > > ,PP-FP0152,[PP-FP0152] Corner Bracket,8,PCE,T8299 6/28/2019
,> > > > ,PP-GP0409,[PP-GP0409] Frame Foot,4,PCE,T8299 6/28/2019
,> > > > > ,RM-TE0002,"[RM-TE0002] Midnight NinjaFlex™ TPE Filament, 3mm, 0.75kg Fenner Drives",0.01,"Reel, 0.75kg",
,> > > > ,PP-GP0410,[PP-GP0410] Electronic Chassis Mount-Front,1,PCE,T8299 6/28/2019
,> > > > > ,RM-AB0105,"[RM-AB0105] Chroma Strand ABS Filament, Black 2.85mm, 5 lb reel ",0.0013,"Reel, 5lb",
,> > > > ,PP-GP0411,[PP-GP0411] Electronic Chassis Mount-Back,2,PCE,T8299 6/28/2019
,> > > > > ,RM-AB0105,"[RM-AB0105] Chroma Strand ABS Filament, Black 2.85mm, 5 lb reel ",0.0013,"Reel, 5lb",
,> > > > ,PP-GP0448,"[PP-GP0448] Thumbscrew Leash, LulzBot Green, Flexible",4,PCE,T8299 6/28/2019
,> > > > > ,RM-TE0027,"[RM-TE0027] LulzBot Green NinjaFlex TPE Filament, 3mm. 0.75kg Fenner Drives",0.01,"Reel, 0.75kg",
,> > > > ,PP-IS0098,[PP-IS0098] Bed Mount Chassis with Insert,4,PCE,T8299 6/28/2019
,> > > > > ,PP-GP0432,[PP-GP0432] Bed Mount Chassis,1,PCE,
,> > > > > > ,RM-AB0105,"[RM-AB0105] Chroma Strand ABS Filament, Black 2.85mm, 5 lb reel ",0.0031,"Reel, 5lb",
,> > > > > ,HD-MS0158,"[HD-MS0158] Metric Brass Heat-Set Insert For Plastics Tapered, M5-.8 Internal Thread, 6.7mm Length",1,PCE,
,> > > ,AS-TH0076,[AS-TH0076] Workhorse Tool Head,1,PCE,T8707 7/15/2019
,> > > > ,DC-LB0185,[DC-LB0185] Caution Hot Tag 0.5mm HE,1,PCE,
,> > > > ,EL-MT0040,"[EL-MT0040] NEMA 17 Half Height Stepper Motor, Moons",1,PCE,
,> > > > ,HD-BT0039,"[HD-BT0039] Metric Class 12.9 Socket Head Cap Screw, Alloy Steel, M3 Thread, 12MM Length, 0.50MM Pitch",4,PCE,
,> > > > ,HD-BT0042,"[HD-BT0042] Metric Class 12.9 Socket Head Cap Screw, Alloy Steel, M3 Thread, 30MM Length, 0.50MM Pitch",1,PCE,
,> > > > ,HD-BT0043,"[HD-BT0043] Metric Class 12.9 Socket Head Cap Screw, Alloy Steel, M3 Thread, 35MM Length, 0.50MM Pitch",3,PCE,
,> > > > ,HD-BT0146,"[HD-BT0146] M3 x 12 BHCS, Black Oxide, Class 10.9 Steel",1,PCE,
,> > > > ,HD-BT0157,"[HD-BT0157] Black-Oxide Class 12.9 Socket Head Cap Screw, Alloy Steel, M3 Thread, 8mm Length, 0.50mm Pitch",2,PCE,
,> > > > ,HD-BT0171,"[HD-BT0171] Black Oxide Class 10.9 Steel Button-Head Socket Cap Screw M3 Size, 20 mm Length, .5 mm Pitch, pkg 100 ",1,PCE,
,> > > > ,HD-BT0197,[HD-BT0197] M4 Thumb Screw for Aero,1,PCE,
,> > > > ,HD-MS0430,"[HD-MS0430] E3D, Idler Spring for Aero",1,PCE,
,> > > > ,HD-MS0446,[HD-MS0446] MR95-2RS Radial Ball Bearing Double Sealed Bore Dia. 5mm OD 9mm Width 3mm,2,PCE,
,> > > > ,HD-NT0011,"[HD-NT0011] M4 Nut, Steel, Zinc Plated",1,PCE,
,> > > > ,HD-WA0027,"[HD-WA0027] Metric 18-8 Stainless Steel Internal-Tooth Lock Washer, M3 Screw Size, 6MM OD, .4MM Min Thick",1,PCE,
,> > > > ,HD-WA0038,"[HD-WA0038] Black-Oxide 18-8 Steel Flat Washer, M3 Screw Size, 3.2mm ID, 7.0mm OD",2,PCE,
,> > > > ,PP-FP0135,[PP-FP0135] E3D Mirrored Aero Idler Lever,1,PCE,
,> > > > ,PP-FP0136,[PP-FP0136] E3D Mirrored Aero 2.85mm Filament Guide,1,PCE,
,> > > > ,PP-FP0154,[PP-FP0154] Titan Extruder Hobb (Hardened Stainless Steel) - Frosted,1,PCE,
,> > > > ,PP-MP0204,[PP-MP0204] Aero Mirrored Body w/ Threaded Insert,1,PCE,
,> > > > ,PP-MP0205,[PP-MP0205] E3D Aero Steel Pinion Gear w/ set screw,1,PCE,
,> > > > ,AS-CB0061,[AS-CB0061] Extruder Motor Harness v2Aero,1,PCE,
,> > > > > ,EL-MS0351,"[EL-MS0351] JST - CONN TERM CRIMP PH 24-30AWG - 8,000 Unit Reel",4,PCE,
,> > > > > ,EL-MS0355,[EL-MS0355] CONN HOUSING PH 6POS 2MM WHITE,1,PCE,
,> > > > > ,EL-MS0480,[EL-MS0480] CONN TERM MALE 20-24AWG TIN (Micro-Fit 3.0™) 12K REEL,4,PCE,
,> > > > > ,EL-WR0103,[EL-WR0103] 24AWG Stranded – Red,18,cm,
,> > > > > ,EL-WR0105,[EL-WR0105] 24AWG Stranded – Black,18,cm,
,> > > > > ,EL-WR0107,[EL-WR0107] 24AWG Stranded – White,18,cm,
,> > > > > ,EL-WR0119,[EL-WR0119] 24AWG Stranded Wire – Green,18,cm,
,> > > > > ,PC-CN0101,[PC-CN0101] CONN PLUG 20POS 3MM VERT DUAL,1,PCE,
,> > > > ,AS-CB0062,[AS-CB0062] v2Aero Extruder Blower Harness,1,PCE,
,> > > > > ,EL-FA0047,"[EL-FA0047] RB5015 Series DC Blower, 51 x 51 x 15mm, 24V",1,PCE,
,> > > > > ,EL-MS0480,[EL-MS0480] CONN TERM MALE 20-24AWG TIN (Micro-Fit 3.0™) 12K REEL,2,PCE,
,> > > > ,AS-CB0063,[AS-CB0063] v2 Aero Zero Sense Harness,1,PCE,
,> > > > > ,EL-MS0480,[EL-MS0480] CONN TERM MALE 20-24AWG TIN (Micro-Fit 3.0™) 12K REEL,1,PCE,
,> > > > > ,EL-MS0141,[EL-MS0141] Term Ring Non Ins 26-22AWG #4  Order Bulk Only,1,PCE,
,> > > > > ,EL-WR0040,"[EL-WR0040] Wire - Single Conductor 20AWG SOLID PTFE, RED ",24,cm,
,> > > > ,AS-CB0064,[AS-CB0064] v2Aero Heatsink Fan Harness,1,PCE,
,> > > > > ,EL-FA0034,[EL-FA0034] Pelonis FAN 5V 40x40x10mm Low flow,1,PCE,
,> > > > > ,EL-MS0480,[EL-MS0480] CONN TERM MALE 20-24AWG TIN (Micro-Fit 3.0™) 12K REEL,2,PCE,
,> > > > ,AS-HE0043,[AS-HE0043] Workhorse 0.5 Aero Hotend Assembly,1,PCE,
,> > > > > ,EL-MS0480,[EL-MS0480] CONN TERM MALE 20-24AWG TIN (Micro-Fit 3.0™) 12K REEL,2,PCE,
,> > > > > ,AS-HE0042,"[AS-HE0042] E3D, Aero Hot End 3.0mm, 0.5mm Nozzle, Hot-Tightened, Pre-Assembled, Hardened Steel",1,PCE,
,> > > > ,PP-IS0053,"[PP-IS0053] Extruder Mount With Inserts, Mini 2",1,PCE,
,> > > > > ,PP-GP0341,"[PP-GP0341] Extruder Mount, Mini 2",1,PCE,
,> > > > > > ,RM-AB0104,"[RM-AB0104] Chroma Strand ABS Filament, Lulzbot Green 2.85mm, 5 lb reel",0.0137,"Reel, 5lb",
,> > > > > ,HD-MS0030,"[HD-MS0030] Metric Brass Heat-Set Tapered Insert, M3-.5 Internal Thread, 3.8mm Length",3,PCE,
,> > > > ,PP-IS0057,[PP-IS0057] Universal Blower shroud w/ inserts,1,PCE,
,> > > > > ,PP-GP0342,[PP-GP0342] Universal Blower Duct,1,PCE,
,> > > > > > ,RM-AB0105,"[RM-AB0105] Chroma Strand ABS Filament, Black 2.85mm, 5 lb reel ",0.0121,"Reel, 5lb",
,> > > > > ,HD-MS0030,"[HD-MS0030] Metric Brass Heat-Set Tapered Insert, M3-.5 Internal Thread, 3.8mm Length",1,PCE,
,> > > > ,PP-IS0083,[PP-IS0083] Idler Clamp Right with Inserts,1,PCE,
,> > > > > ,HD-MS0030,"[HD-MS0030] Metric Brass Heat-Set Tapered Insert, M3-.5 Internal Thread, 3.8mm Length",2,PCE,
,> > > > > ,PP-GP0428,[PP-GP0428] Idler Tube Clamp Right,1,PCE,
,> > > > > > ,RM-AB0105,"[RM-AB0105] Chroma Strand ABS Filament, Black 2.85mm, 5 lb reel ",0.0015,"Reel, 5lb",
,> > > > ,AS-CB0066,[AS-CB0066] v2Aero Thermistor Harness,1,PCE,
,> > > > > ,EL-MS0059,[EL-MS0059] Molex-CONN TERM FEMALE 22-24AWG TIN Reels of 20K,2,PCE,
,> > > > > ,EL-MS0480,[EL-MS0480] CONN TERM MALE 20-24AWG TIN (Micro-Fit 3.0™) 12K REEL,2,PCE,
,> > > > > ,EL-WR0103,[EL-WR0103] 24AWG Stranded – Red,12,cm,
,> > > > > ,EL-WR0105,[EL-WR0105] 24AWG Stranded – Black,12,cm,
,> > > > > ,PC-CN0001,[PC-CN0001]  Molex-Conn Housing 2POS .100 W/Latch,1,PCE,
,> > > ,DC-LB0154,[DC-LB0154] Caution Hot Sticker,1,PCE,T8707 7/15/2019
,> > > ,HD-BT0073,"[HD-BT0073] Class 10.9 Stl Button Head Socket Cap Screw M5 Size, 10 Mm Length, .8 Mm Pitch ",5,PCE,T8707 7/15/2019
,> > > ,HD-BT0185,"[HD-BT0185] Black-Oxide Alloy Steel Socket Head Screw M3 x 0.5 mm Thread, 16 mm Long",1,PCE,T8707 7/15/2019
,> > > ,HD-BT0222,"[HD-BT0222] Blue-Dyed Zinc-Plated Alloy Steel Socket Head Screw M3 x 0.5 mm Thread, 50 mm Long",1,PCE,T8707 7/15/2019
,> > > ,HD-BT0223,"[HD-BT0223] Blue-Dyed Zinc-Plated Alloy Steel Socket Head Screw M3 x 0.5 mm Thread, 16 mm Long",2,PCE,T8707 7/15/2019
,> > > ,HD-BT0225,"[HD-BT0225] 316 Stainless Steel Button Head Hex Drive Screws, M5 x 0.8mm Thread, 10mm Long",1,PCE,T8707 7/15/2019
,> > > ,HD-MS0058,"[HD-MS0058] Wire Tie, 8"" Black, pk 1000",8,PCE,T8707 7/15/2019
,> > > ,HD-RD0066,"[HD-RD0066] 12mm Smooth Rod, Stainless Steel, 540mm EWMR-12-540x ",2,PCE,T8707 7/15/2019
,> > > ,HD-WA0007,"[HD-WA0007] M5 Washer, Steel, Zinc Plated",1,PCE,T8707 7/15/2019
,> > > ,HD-WA0038,"[HD-WA0038] Black-Oxide 18-8 Steel Flat Washer, M3 Screw Size, 3.2mm ID, 7.0mm OD",4,PCE,T8707 7/15/2019
,> > > ,HD-WA0040,"[HD-WA0040] Black-Oxide 18-8 Stainless Steel Washer, M5 Size, 5.3mm ID, 10.0mm OD",5,PCE,T8707 7/15/2019
,> > > ,PP-GP0390,[PP-GP0390] Cable Clip,5,PCE,T8707 7/15/2019
,> > > > ,RM-AB0105,"[RM-AB0105] Chroma Strand ABS Filament, Black 2.85mm, 5 lb reel ",0.0011,"Reel, 5lb",
,> > > ,PP-GP0405,[PP-GP0405] Z Endstop Cable Cover,1,PCE,T8707 7/15/2019
,> > > > ,RM-AB0105,"[RM-AB0105] Chroma Strand ABS Filament, Black 2.85mm, 5 lb reel ",0.002,"Reel, 5lb",
,> > > ,PP-GP0447,"[PP-GP0447] Interconnect Strain Relief, Black",1,PCE,T8707 7/15/2019
,> > > > ,RM-AB0105,"[RM-AB0105] Chroma Strand ABS Filament, Black 2.85mm, 5 lb reel ",0.0097,"Reel, 5lb",
,> > > ,PP-IS0100,[PP-IS0100] X-Belt Clamp with Insert,1,PCE,T8707 7/15/2019
,> > > > ,HD-MS0030,"[HD-MS0030] Metric Brass Heat-Set Tapered Insert, M3-.5 Internal Thread, 3.8mm Length",1,PCE,
,> > > > ,PP-GP0380,[PP-GP0380] X Belt Clamp,1,PCE,
,> > > > > ,RM-AB0105,"[RM-AB0105] Chroma Strand ABS Filament, Black 2.85mm, 5 lb reel ",0.0004,"Reel, 5lb",
,> > ,DC-LB0189,[DC-LB0189] TAZ WE Certification Sticker,1,PCE,T8826 7/18/2019
,> > ,EL-MS0385,[EL-MS0385] Verbatim 8GB SDHC Class 10 UHS-I / Bulk ,1,PCE,T8826 7/18/2019
,> ,DC-LB0063,[DC-LB0063] Modification Warning Insert Modification 2.75 x 8.5 on 100 lb. Astrobright Lift Off Lemon Very Bright,1,PCE,T9006 7/25/2019
,> ,DC-LB0118,[DC-LB0118] Save your TAZ Packaging Sticker,1,PCE,T9006 7/25/2019
,> ,DC-LB0193,"[DC-LB0193] TAZ Workhorse, AU Serial Number Sticker, Tamper Evident",1,PCE,T9006 7/25/2019
,> ,DC-MS0092,"[DC-MS0092] EC Declaration of Conformity, Workhorse",1,PCE,T9006 7/25/2019
,> ,DC-MS0093,"[DC-MS0093] Safety Warnings Sheet, Workhorse",1,PCE,T9006 7/25/2019
,> ,DC-MS0094,"[DC-MS0094] Packing List, Workhorse",1,PCE,T9006 7/25/2019
,> ,EL-CA0056,"[EL-CA0056] 6ft 18AWG Australian Power Cord Cable - H05VV-FNEMA C13 - Black, Box of 75",1,PCE,T9006 7/25/2019
,> ,EL-MS0523,[EL-MS0523] Power Connector Heavy Duty Retention Clip PP15/45,1,PCE,T9006 7/25/2019
,> ,SH-BX0498,[SH-BX0498] TAZ - Product Box,1,PCE,T9006 7/25/2019
,> ,SH-PA0060,"[SH-PA0060] TazPro, Top Endcap Foam, 1.7 lb. Density Polyethylene Foam, Black",1,PCE,T9006 7/25/2019
,> ,SH-PA0061,"[SH-PA0061] TazPro, Bottom Endcap Foam, 1.7# Density Polyethylene Foam, Black",1,PCE,T9006 7/25/2019
,> ,SH-PA0063,"[SH-PA0063] TazPro, Corrugated Sleeve",1,PCE,T9006 7/25/2019
,> ,SH-PA0067,"[SH-PA0067] Workhorse, Print Head Stabilizer Foam, 1.7# Density Polyethylene, Top, Black",1,PCE,T9006 7/25/2019
,> ,SH-PA0068,"[SH-PA0068] Workhorse, Print Head Stabilizer Foam, 1.7# Density Polyethylene, Bottom, Black",1,PCE,T9006 7/25/2019
,> ,SH-PG0019,"[SH-PG0019] Avery® White Shipping Labels for Laser Printers with TrueBlock Technology, 2 Inches x 4 Inches (5963)",1,PCE,T9006 7/25/2019
,> ,SH-PG0031,"[SH-PG0031] 2 x 3"" No Print Reclosable Static Shielding Bags (ESD)",1,PCE,T9006 7/25/2019
,> ,SH-PG0069,"[SH-PG0069] 3M 8898 Economy Strapping Tape - 1⁄2"" x 60 yards",700,mm,T9006 7/25/2019
,> ,SH-PG0131,"[SH-PG0131] #260 White Reinforced Gummed Tape with LulzBot Printed Logo, 10 Pack",3660,mm,T9006 7/25/2019
